기준일ID,시간대구분,행정동코드,총생활인구수
20260602,6,11200620,11880.6404
20260602,6,11200645,29561.9027
20260602,6,11200650,15500.8173
20260602,6,11200660,18734.7503
20260602,6,11200670,15987.626
20260602,6,11200690,27983.4664
20260602,6,11200720,11180.3524
20260602,6,11200790,17982.7963
20260602,7,11200520,15293.2748
20260602,7,11200535,21164.7083
20260602,7,11200540,22405.7425
20260602,7,11200550,27973.701
20260602,7,11200560,42303.3687
20260602,7,11200570,17235.7077
20260602,7,11200580,11266.4414
20260602,7,11200590,12793.0568
20260602,7,11200615,18398.8903
20260602,7,11200620,11634.9375
20260602,7,11200645,32175.4804
20260602,7,11200650,16394.4491
20260602,7,11200660,22478.8127
20260602,7,11200670,16450.5545
20260602,7,11200690,33366.0267
20260602,7,11200720,11183.5749
20260602,7,11200790,18749.5051
20260602,8,11200520,12221.9154
20260602,8,11200535,19312.6548
20260602,8,11200540,20868.4197
20260602,8,11200550,33016.729
20260602,8,11200560,44626.9929
20260602,8,11200570,13915.1009
20260602,8,11200580,10920.476
20260602,8,11200590,10994.3129
20260602,8,11200615,15350.7806
20260602,8,11200620,10757.6024
20260602,8,11200645,30147.2201
20260602,8,11200650,18751.7618
20260602,8,11200660,26584.785
20260602,8,11200670,18395.5869
20260602,8,11200690,46738.8931
20260602,8,11200720,10783.8425
20260602,8,11200790,18701.2009
20260602,9,11200520,11061.2903
20260602,9,11200535,19528.0009
20260602,9,11200540,19826.4114
20260602,9,11200550,35622.9507
20260602,9,11200560,45337.4374
20260602,9,11200570,12558.4189
20260602,9,11200580,9722.1975
20260602,9,11200590,9948.0777
20260602,9,11200615,14240.7283
20260602,9,11200620,10533.2333
20260602,9,11200645,27688.3277
20260602,9,11200650,20580.1706
20260602,9,11200660,29884.0347
20260602,9,11200670,20016.6916
20260602,9,11200690,55535.018
20260602,9,11200720,10337.5665
20260602,9,11200790,19050.5094
20260602,10,11200520,10606.5852
20260602,10,11200535,19244.1215
20260602,10,11200540,19119.0321
20260602,10,11200550,39199.1676
20260602,10,11200560,45868.4586
20260602,10,11200570,12141.3468
20260602,10,11200580,9386.3645
20260602,10,11200590,9419.1514
20260602,10,11200615,13219.8211
20260602,10,11200620,9803.7444
20260602,10,11200645,25890.2266
20260602,10,11200650,21291.4361
20260602,10,11200660,31328.2977
20260602,10,11200670,20563.8218
20260602,10,11200690,59618.9772
20260602,10,11200720,9761.027
20260602,10,11200790,18610.735
20260602,11,11200520,10378.1993
20260602,11,11200535,19286.035
20260602,11,11200540,18164.6098
20260602,11,11200550,39193.7401
20260602,11,11200560,45264.5529
20260602,11,11200570,11403.3631
20260602,11,11200580,8807.3076
20260602,11,11200590,8979.5213
20260602,11,11200615,12894.4647
20260602,11,11200620,9367.2701
20260602,11,11200645,24427.7774
20260602,11,11200650,21832.6166
20260602,11,11200660,32349.6285
20260602,11,11200670,20819.4823
20260602,11,11200690,61572.8298
20260602,11,11200720,9274.0626
20260602,11,11200790,17679.6122
20260602,12,11200520,10054.8015
20260602,12,11200535,19322.5596
20260602,12,11200540,18345.7024
20260602,12,11200550,40681.6175
20260602,12,11200560,45001.2514
20260602,12,11200570,11546.869
20260602,12,11200580,8730.6723
20260602,12,11200590,8866.6685
20260602,12,11200615,12514.0702
20260602,12,11200620,9087.1388
20260602,12,11200645,23963.7874
20260602,12,11200650,22778.5025
20260602,12,11200660,33230.6918
20260602,12,11200670,21458.5885
20260602,12,11200690,64203.894
20260602,12,11200720,9330.5524
20260602,12,11200790,17741.1321
20260602,13,11200520,10071.2402
20260602,13,11200535,19596.7315
20260602,13,11200540,18090.6699
20260602,13,11200550,41047.5808
20260602,13,11200560,45786.65
20260602,13,11200570,10848.3844
20260602,13,11200580,8759.8628
20260602,13,11200590,9022.8493
20260602,13,11200615,12376.2443
20260602,13,11200620,9315.1683
20260602,13,11200645,23439.9715
20260602,13,11200650,23415.3384
20260602,13,11200660,33245.9106
20260602,13,11200670,21528.0644
20260602,13,11200690,66018.2359
20260602,13,11200720,9052.4638
20260602,13,11200790,17646.0358
20260602,14,11200520,10112.9744
20260602,14,11200535,18936.163
20260602,14,11200540,17515.6268
20260602,14,11200550,41330.8627
20260602,14,11200560,46111.642
20260602,14,11200570,10927.7465
20260602,14,11200580,8870.0453
20260602,14,11200590,9256.4397
20260602,14,11200615,12549.2325
20260602,14,11200620,10104.7373
20260602,14,11200645,23381.6987
20260602,14,11200650,24489.4724
20260602,14,11200660,32433.7997
20260602,14,11200670,22284.8675
20260602,14,11200690,65998.8196
20260602,14,11200720,8893.7987
20260602,14,11200790,17436.097
20260602,15,11200520,10520.6845
20260602,15,11200535,19358.4254
20260602,15,11200540,17242.0938
20260602,15,11200550,40118.0929
20260602,15,11200560,47256.3503
20260602,15,11200570,11559.7961
20260602,15,11200580,8664.3666
20260602,15,11200590,9470.2027
20260602,15,11200615,12672.6167
20260602,15,11200620,10551.7898
20260602,15,11200645,25027.6879
20260602,15,11200650,23398.5778
20260602,15,11200660,33206.3483
20260602,15,11200670,22744.532
