도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 한강대로 365,음식,126.9718441,37.55104632
서울특별시 용산구 회나무로 30,보건의료,126.9899071,37.53941734
서울특별시 용산구 청파로85가길 10-12,숙박,126.9674866,37.55236966
서울특별시 용산구 한강대로54길 22,음식,126.9727902,37.53247693
서울특별시 용산구 두텁바위로1길 5,음식,126.9726496,37.54548734
서울특별시 용산구 한강대로42길 8,음식,126.9700303,37.53064723
서울특별시 용산구 한강대로 351,음식,126.9715278,37.54960464
서울특별시 용산구 청파로47길 20-2,음식,126.9693683,37.54498198
서울특별시 용산구 회나무로 76,음식,126.9949987,37.54049887
서울특별시 용산구 백범로 341,예술·스포츠,126.9679455,37.53796281
서울특별시 용산구 후암로 38,음식,126.9778199,37.5492546
서울특별시 용산구 한강대로62길 5,예술·스포츠,126.9739434,37.53463059
서울특별시 용산구 새창로 181,음식,126.9651758,37.53270919
서울특별시 용산구 녹사평대로 244,음식,126.9873839,37.53931799
서울특별시 용산구 효창원로70길 14,음식,126.9629992,37.54152933
서울특별시 용산구 한강대로38길 11-8,음식,126.9698044,37.52978221
서울특별시 용산구 원효로63길 24,숙박,126.9637591,37.53774536
서울특별시 용산구 한남대로21길 14,음식,127.0061888,37.53431795
서울특별시 용산구 녹사평대로 168-8,음식,126.9894554,37.53324545
서울특별시 용산구 이태원로20길 13,음식,126.9921594,37.53372319
서울특별시 용산구 독서당로 87,음식,127.0101036,37.53472313
서울특별시 용산구 서빙고로 4-4,음식,126.9653147,37.52589766
서울특별시 용산구 청파로45길 5,음식,126.970206,37.54415327
서울특별시 용산구 원효로41길 5,음식,126.9579567,37.53417548
서울특별시 용산구 한강대로 26,소매,126.9630421,37.52342823
서울특별시 용산구 신흥로20길 1,예술·스포츠,126.9851083,37.54591304
서울특별시 용산구 서빙고로91나길 104,음식,126.9961537,37.52526298
서울특별시 용산구 녹사평대로 236,음식,126.987203,37.53872331
서울특별시 용산구 한강대로30길 25,음식,126.9688551,37.52735827
서울특별시 용산구 회나무로 24-1,음식,126.9894432,37.53921908
서울특별시 용산구 회나무로44길 10,음식,126.9964584,37.54055298
서울특별시 용산구 우사단로14길 3,숙박,126.9958477,37.5341018
서울특별시 용산구 청파로71길 9,음식,126.9693212,37.54931577
서울특별시 용산구 한남대로21길 17,보건의료,127.0065282,37.53414674
서울특별시 용산구 신흥로26길 20,예술·스포츠,126.983875,37.54510198
서울특별시 용산구 이태원로 180,예술·스포츠,126.9941845,37.53422787
서울특별시 용산구 백범로99길 52,음식,126.9723589,37.5359547
서울특별시 용산구 효창원로 168,소매,126.9624893,37.54297077
서울특별시 용산구 이태원로 238,음식,126.9999095,37.53592189
서울특별시 용산구 이촌로 200,예술·스포츠,126.9693441,37.52095227
서울특별시 용산구 한강대로88길 6-3,음식,126.9727972,37.54432509
서울특별시 용산구 효창원로40길 3-6,음식,126.9596524,37.5369061
서울특별시 용산구 대사관로 73,예술·스포츠,127.0061435,37.53336289
