정류소명,경도,위도,월평균승객수
용산구청,126.991477,37.530573,2184.8
서울시교육청.남영동주민센터,126.975732,37.545505,2133
필리핀대사관,126.9950933,37.54069996,2066.4
서울드래곤시티,126.9630604,37.53215669,2020.8
한강대교전망카페,126.9613435,37.521236,1993
서빙고동금호베스트빌,126.9907182,37.52263626,1992.4
서빙고동금호베스트빌,126.990991,37.52261379,1634
몬드리안서울이태원,126.992589,37.528596,1547.4
한남오거리,127.0066567,37.53309011,1334.4
청화아파트,126.995387,37.531157,1053.6
보광동삼거리,126.996811,37.530752,1050.2
도원삼성래미안아파트,126.9576859,37.53968795,988.2
외빈차고,126.992242,37.531832,971
보광초등학교후문앞,126.995635,37.533162,742.2
한남동주민센터,127.000603,37.534102,701
제일기획,126.998418,37.53495,682.2
보광초등학교,126.99673,37.531373,428.8
